group,text,label,position,left_context,term,right_context,query_term
Jewish,"CNBC INDONESIA McDonald's 5 Cabang McDonald's Dunia yang Bantah Sokong Tentara Israel Sejumlah cabang restoran cepat saji McDonald's di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap Israel.

Melansir dari Hindustan Times, McDonald's cabang Lebanon, Oman, Uni Emirat Arab (UAE), Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk Israel Defense Forces (IDF) atau Pasukan Pertahanan Israel.

""McDonald's Lebanon menegaskan bahwa pemegang waralaba (franchise) di negara dan wilayah lain tidak mewakili pandangan atau posisi McDonald's Lebanon dengan cara apa pun,"" tulis McDonald's Lebanon dalam pernyataannya, dikutip Rabu (18/10/2023).

""McDonald's Lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar Lebanon. Kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas,"" lanjut pernyataan tersebut.

Sementara itu, McDonald's cabang Oman, UAE, Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada IDF dan berada di pihak dukungan kepada Palestina.

Melalui pernyataan resmi, McDonald's Oman menuturkan bahwa pihaknya telah menyumbangkan US$100 ribu atau sekitar Rp1,57 miliar (asumsi kurs Rp15.742/US$) sebagai bantuan kepada masyarakat Gaza, Palestina.

#palestina",0,65,idf atau pasukan pertahanan,israel,mcdonald s lebanon menegaskan,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,3,mui haramkan produk,israel,namun dia sendiri tanpa,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,14,menggunakan dan menikmati produk,israel,keturunan yahudi itu sendiri,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,22,sendiri beberapa nama produk,israel,keturunan yahudi 1 google,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,33,semua adalah produk buatan,israel,buatan amerika sekutunya dan,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,81,mui menganggap semua produk,israel,haram sebaiknya diboikot semuanya,israel
"Tionghoa, Jewish","*MUI HARAMKAN PRODUK ISRAEL* Namun, dia sendiri tanpa sadar telah menggunakan dan menikmati produk Israel Keturunan Yahudi itu sendiri😁😁 Beberapa nama produk Israel keturunan Yahudi : 1. Google. 2. Ini semua adalah produk buatan Israel, buatan Amerika sekutunya dan buatan Negara-negara lain keturunan Yahudi seperti Rusia, Inggris, Prancis, Kanada, Argentina dan beberapa negara lain yang termasuk sekutnya Juga Produk-produk tersebut dibuat dan diproduksi orang Negara China Lalu kenapa anda memakainya, dan kenapa anda menggunakannya❓ Kemudian jika MUI menganggap semua Produk Israel haram, sebaiknya diboikot semuanya dan tidak usah digunakan sama sekali saya rasa lebih adil kalau begitu. Namun jika ini hanya sekedar alasan atau tindakan bodoh saja, Melarang atau Mengharamkan semua produk Israel keturunan Yahudi dan Produk-produk Negara lain yang termasuk sekutunya, lalu dalam tanda kutip ""anda masih menggunakan sebagian juga"", berarti anda munafik tidak jujur mengakuinya🤣😂😂",1,113,atau mengharamkan semua produk,israel,keturunan yahudi dan produk,israel
"Tionghoa, Jewish","k”tdata #KalauBicaraPakaiData Cina Jabat Presiden Dewan Keamanan PBB, Fokus Urus Konflik di Gaza Antara/HO-UN Photo Cina memulai masa jabatannya sebagai Presiden Dewan Keamanan Perserikatan Bangsa Bangsa (PBB) untuk periode November 2023. Duta Besar Cina untuk PBB Zhang Jun mengatakan selama kepemimpinan Cina, konflik di Gaza akan menjadi fokus pembahasan di dalam dewan.

“Dewan telah memusatkan perhatian pada masalah ini selama beberapa pekan dan akan terus menjadi fokus kerja dewan dan juga kepemimpinan Cina,” kata Zhang kepada wartawan di PBB seperti dikutip, Kamis (2/11). 

Zhang mengatakan selama masa jabatannya sebagai ketua Dewan Keamanan PBB, Cina akan berupaya mendorong gencatan senjata. 

Selain konflik Gaza, agenda dewan akan mencakup diskusi mengenai situasi keamanan di beberapa negara. 

Selengkapnya, klik link di bio dan Instastory.

#DewanKeamananPBB #PBB #cINA #Konflik #Perang #Israel #Palestina #Gaza #JalurGaza #GencatanSenjata #KatadataNews #Katadata #Katadatacoid #KalauBicaraPakaiData",0,129,pbb cina konflik perang,israel,palestina gaza jalurgaza gencatansenjata,israel
"Tionghoa, Jewish","安塔利亚 纯净的文艺古都 塞浦路斯 摩苏尔 - 叙利亚 开罗 观賞胡夫金字塔” 伊拉å…‹ 约旦 = NEWS China menghapus Israel dari peta digital dunia, hanya menampilkan Yerusalem sebagai bela Palestina Keren",0,12,约旦 news china menghapus,israel,dari peta digital dunia,israel
"Tionghoa, Jewish","五彩斑鋼热气球 安塔利亚 纯净的文艺古都 塞浦路斯 摩苏尔 叙利亚 开罗 观赏胡夫金字塔 伊拉克 约旦 约旦 二 NEWS China menghapus Israel dari peta digital dunia, hanya menampilkan Yerusalem sebagai bela Palestina UNEXPLND Media Wall Street Journal (WSJ) pada Senin [30/10] memberitakan bahwa Cina telah menghapus Israel dari peta. Hal tersebut diketahui oleh pengguna internet di Cina saat menyadari bahwa peta digital buatan Cina, seperti Baidu dan Alibaba tidak menampilkan negara Israel.

Di peta online Baidu, hanya terlihat garis-garis perbatasan dan kota-kota utama yang diakui secara internasional. Meski begitu, tidak ada identitas jelas yang dicantumkan. Hal serupa juga terjadi di peta online milik Alibaba, Amap. Dalam aplikasi tersebut tidak ada pencantuman nama negara Israel.

🔍 Follow @unexplnd for more!

#UNEXPLND #ExplainingTheUnexplained",0,15,二 news china menghapus,israel,dari peta digital dunia,israel
"Tionghoa, Jewish","五彩斑鋼热气球 安塔利亚 纯净的文艺古都 塞浦路斯 摩苏尔 叙利亚 开罗 观赏胡夫金字塔 伊拉克 约旦 约旦 二 NEWS China menghapus Israel dari peta digital dunia, hanya menampilkan Yerusalem sebagai bela Palestina UNEXPLND Media Wall Street Journal (WSJ) pada Senin [30/10] memberitakan bahwa Cina telah menghapus Israel dari peta. Hal tersebut diketahui oleh pengguna internet di Cina saat menyadari bahwa peta digital buatan Cina, seperti Baidu dan Alibaba tidak menampilkan negara Israel.

Di peta online Baidu, hanya terlihat garis-garis perbatasan dan kota-kota utama yang diakui secara internasional. Meski begitu, tidak ada identitas jelas yang dicantumkan. Hal serupa juga terjadi di peta online milik Alibaba, Amap. Dalam aplikasi tersebut tidak ada pencantuman nama negara Israel.

🔍 Follow @unexplnd for more!

#UNEXPLND #ExplainingTheUnexplained",0,41,bahwa cina telah menghapus,israel,dari peta hal tersebut,israel
"Tionghoa, Jewish","五彩斑鋼热气球 安塔利亚 纯净的文艺古都 塞浦路斯 摩苏尔 叙利亚 开罗 观赏胡夫金字塔 伊拉克 约旦 约旦 二 NEWS China menghapus Israel dari peta digital dunia, hanya menampilkan Yerusalem sebagai bela Palestina UNEXPLND Media Wall Street Journal (WSJ) pada Senin [30/10] memberitakan bahwa Cina telah menghapus Israel dari peta. Hal tersebut diketahui oleh pengguna internet di Cina saat menyadari bahwa peta digital buatan Cina, seperti Baidu dan Alibaba tidak menampilkan negara Israel.

Di peta online Baidu, hanya terlihat garis-garis perbatasan dan kota-kota utama yang diakui secara internasional. Meski begitu, tidak ada identitas jelas yang dicantumkan. Hal serupa juga terjadi di peta online milik Alibaba, Amap. Dalam aplikasi tersebut tidak ada pencantuman nama negara Israel.

🔍 Follow @unexplnd for more!

#UNEXPLND #ExplainingTheUnexplained",0,66,alibaba tidak menampilkan negara,israel,di peta online baidu,israel
"Tionghoa, Jewish","五彩斑鋼热气球 安塔利亚 纯净的文艺古都 塞浦路斯 摩苏尔 叙利亚 开罗 观赏胡夫金字塔 伊拉克 约旦 约旦 二 NEWS China menghapus Israel dari peta digital dunia, hanya menampilkan Yerusalem sebagai bela Palestina UNEXPLND Media Wall Street Journal (WSJ) pada Senin [30/10] memberitakan bahwa Cina telah menghapus Israel dari peta. Hal tersebut diketahui oleh pengguna internet di Cina saat menyadari bahwa peta digital buatan Cina, seperti Baidu dan Alibaba tidak menampilkan negara Israel.

Di peta online Baidu, hanya terlihat garis-garis perbatasan dan kota-kota utama yang diakui secara internasional. Meski begitu, tidak ada identitas jelas yang dicantumkan. Hal serupa juga terjadi di peta online milik Alibaba, Amap. Dalam aplikasi tersebut tidak ada pencantuman nama negara Israel.

🔍 Follow @unexplnd for more!

#UNEXPLND #ExplainingTheUnexplained",0,110,ada pencantuman nama negara,israel,follow unexplnd for more,israel
"Tionghoa, Jewish","ENTREPRENEURS Instagram| @CatatanEntrepreneur RESPONS CHINA TERHADAP SERANGAN HAMAS KE ISRAEL, XI JINPING: ""JALAN KELUAR MENDASAR DARI KONFLIK INI TERLETAK PADA PENERAPAN SOLUSI DUA NEGARA DAN PEMBENTUKAN NEGARA PALESTINA YANG MERDEKA"" China memberi respons atas ketegangan baru yang terjadi antara Faksi Hamas, Palestina, dengan Israel. Negeri Presiden Xi Jinping itu bahkan meneriakkan pendirian negara Palestina yang merdeka sebagai solusi perdamaian.

""Kami menyerukan pihak-pihak terkait untuk tetap tenang, menahan diri dan segera mengakhiri permusuhan untuk melindungi warga sipil dan menghindari memburuknya situasi,"" kata Kementerian Luar Negeri China seperti dikutip CNBC International.

""Jalan keluar mendasar dari konflik ini terletak pada penerapan solusi dua negara dan pembentukan Negara Palestina yang merdeka,"" tegasnya lagi.

Pernyataan China itu bukan tanpa dasar. Selama ini, China memang telah memainkan peran dalam meredakan ketegangan Israel-Palestina. (Source: CNBC)
#catatanentrepreneur",0,9,terhadap serangan hamas ke,israel,xi jinping jalan keluar,israel
"Tionghoa, Jewish","ENTREPRENEURS Instagram| @CatatanEntrepreneur RESPONS CHINA TERHADAP SERANGAN HAMAS KE ISRAEL, XI JINPING: ""JALAN KELUAR MENDASAR DARI KONFLIK INI TERLETAK PADA PENERAPAN SOLUSI DUA NEGARA DAN PEMBENTUKAN NEGARA PALESTINA YANG MERDEKA"" China memberi respons atas ketegangan baru yang terjadi antara Faksi Hamas, Palestina, dengan Israel. Negeri Presiden Xi Jinping itu bahkan meneriakkan pendirian negara Palestina yang merdeka sebagai solusi perdamaian.

""Kami menyerukan pihak-pihak terkait untuk tetap tenang, menahan diri dan segera mengakhiri permusuhan untuk melindungi warga sipil dan menghindari memburuknya situasi,"" kata Kementerian Luar Negeri China seperti dikutip CNBC International.

""Jalan keluar mendasar dari konflik ini terletak pada penerapan solusi dua negara dan pembentukan Negara Palestina yang merdeka,"" tegasnya lagi.

Pernyataan China itu bukan tanpa dasar. Selama ini, China memang telah memainkan peran dalam meredakan ketegangan Israel-Palestina. (Source: CNBC)
#catatanentrepreneur",0,43,faksi hamas palestina dengan,israel,negeri presiden xi jinping,israel
