marker,group_column,group,count,marker_count,marker_rate
has_question_exclamation,topic,Jewish,9288,19,0.002045650301464255
has_question_exclamation,topic,Kristen,1594,4,0.002509410288582183
has_question_exclamation,topic,LGBTQ+,919,8,0.008705114254624592
has_question_exclamation,topic,Rohingya,1736,4,0.002304147465437788
has_question_exclamation,topic,Syiah,709,9,0.012693935119887164
has_question_exclamation,topic,Tionghoa,5575,7,0.0012556053811659193
has_question_exclamation,topic,UNKNOWN,2263,1,0.0004418912947414936
has_exclamation_question,topic,Ahmadiyah,144,0,0.0
has_exclamation_question,topic,Disabilitas,7088,18,0.0025395033860045146
has_exclamation_question,topic,Jewish,9288,6,0.0006459948320413437
has_exclamation_question,topic,Kristen,1594,2,0.0012547051442910915
has_exclamation_question,topic,LGBTQ+,919,2,0.002176278563656148
has_exclamation_question,topic,Rohingya,1736,0,0.0
has_exclamation_question,topic,Syiah,709,0,0.0
has_exclamation_question,topic,Tionghoa,5575,1,0.00017937219730941703
has_exclamation_question,topic,UNKNOWN,2263,2,0.0008837825894829872
has_url,topic,Ahmadiyah,144,15,0.10416666666666667
has_url,topic,Disabilitas,7088,42,0.005925507900677201
has_url,topic,Jewish,9288,97,0.010443583118001722
has_url,topic,Kristen,1594,116,0.07277289836888332
has_url,topic,LGBTQ+,919,56,0.060935799782372145
has_url,topic,Rohingya,1736,344,0.19815668202764977
has_url,topic,Syiah,709,83,0.11706629055007052
has_url,topic,Tionghoa,5575,138,0.024753363228699553
has_url,topic,UNKNOWN,2263,15,0.006628369421122404
has_mention,topic,Ahmadiyah,144,9,0.0625
has_mention,topic,Disabilitas,7088,607,0.08563769751693003
has_mention,topic,Jewish,9288,1114,0.11993970714900948
has_mention,topic,Kristen,1594,377,0.23651191969887075
has_mention,topic,LGBTQ+,919,123,0.1338411316648531
has_mention,topic,Rohingya,1736,495,0.28513824884792627
has_mention,topic,Syiah,709,144,0.20310296191819463
has_mention,topic,Tionghoa,5575,532,0.09542600896860987
has_mention,topic,UNKNOWN,2263,53,0.02342023862129916
has_hashtag,topic,Ahmadiyah,144,16,0.1111111111111111
has_hashtag,topic,Disabilitas,7088,829,0.11695823927765236
has_hashtag,topic,Jewish,9288,3092,0.33290267011197244
has_hashtag,topic,Kristen,1594,458,0.28732747804265996
has_hashtag,topic,LGBTQ+,919,252,0.27421109902067464
has_hashtag,topic,Rohingya,1736,576,0.3317972350230415
has_hashtag,topic,Syiah,709,182,0.2566995768688293
has_hashtag,topic,Tionghoa,5575,2215,0.39730941704035877
has_hashtag,topic,UNKNOWN,2263,218,0.0963323022536456
has_emoji_or_symbol,topic,Ahmadiyah,144,136,0.9444444444444444
has_emoji_or_symbol,topic,Disabilitas,7088,5617,0.7924661399548533
has_emoji_or_symbol,topic,Jewish,9288,8416,0.9061154177433247
has_emoji_or_symbol,topic,Kristen,1594,1499,0.9404015056461732
has_emoji_or_symbol,topic,LGBTQ+,919,819,0.8911860718171926
has_emoji_or_symbol,topic,Rohingya,1736,1637,0.9429723502304147
has_emoji_or_symbol,topic,Syiah,709,688,0.9703808180535967
has_emoji_or_symbol,topic,Tionghoa,5575,5151,0.9239461883408072
has_emoji_or_symbol,topic,UNKNOWN,2263,1491,0.658859920459567
has_repeated_character,topic,Ahmadiyah,144,48,0.3333333333333333
has_repeated_character,topic,Disabilitas,7088,1345,0.18975733634311512
has_repeated_character,topic,Jewish,9288,988,0.10637381567614125
has_repeated_character,topic,Kristen,1594,370,0.23212045169385195
has_repeated_character,topic,LGBTQ+,919,163,0.17736670293797607
has_repeated_character,topic,Rohingya,1736,349,0.201036866359447
has_repeated_character,topic,Syiah,709,223,0.3145275035260931
has_repeated_character,topic,Tionghoa,5575,937,0.16807174887892376
has_repeated_character,topic,UNKNOWN,2263,238,0.10517012814847547
